paper, title, mission/instruments, models, manually reviewed, CMR datasets
R3LF54DU,2016_Hurst_Recent divergences in stratospheric water vapor measurements by frost.pdf,'aura/mls'(3), ,ML2H2O;ML2T;ML2NO,
YITELP4T,2019_Wang_Impact of convectively lofted ice on the seasonal cycle of water vapor in the.pdf,'aura/mls----level 2'(1), 'merra'(18); 'merra-2'(16),M2I6NVANA;ML2H2O;ML2N2O,
BWAXWP3A,2019_Zawedde_Are EEP Events Important for the Tertiary Ozone Maximum.pdf,'aura/mls'(15), ,ML2O3;ML2H2O;ML2OH;ML2T,ML3DBOH;ML2T;ML2O3;ML2H2O
T34Y6TN3,2020_Schranz_Small-scale variability of stratospheric ozone during the sudden stratospheric.pdf,'aura/mls'(2), 'merra'(28); 'merra-2'(25),ML2T;M2I6NPANA,
W39KBD8E,2019_Ugolnikov_Optical depths and vertical profiles of stratospheric aerosol based on.pdf,'aura/mls'(1), ,OMPS_NPP_LP_L2_AER675_DAILY;ML2T;ML2O3,
D8HCPQP7,2020_Kablick_Australian PyroCb Smoke Generates Synoptic-Scale Stratospheric Anticyclones.pdf,'aura/mls'(2), ,OMPS_NPP_NMMIEAI_L2;ML2O3;ML2N2O;ML2H2O,
ENTVXRS6,2018_Pitts_Polar stratospheric cloud climatology based on CALIPSO spaceborne lidar.pdf,'aura/mls'(19), 'merra'(26); 'merra-2'(25),ML2H2O;ML2HNO3;ML2H2O_NRT;ML2HNO3_NRT;M2I3NVASM;M2I6NVANA;ML3DZCH3CL,ML2HNO3;ML2T;ML2H2O
9GHYDEV7,2019_Strahan_Why Do Antarctic Ozone Recovery Trends Vary.pdf,'aura/mls'(3); 'aura/omi'(1), 'merra'(1); 'geos-5'(1),OMTO3d;TOMSEPL3;TOMSN7L3;OMPS_NPP_NMTO3_L3_DAILY;ML2O3;M2I3NPASM;MAI3CPASM;M2IMNPANA,ML2O3
SMMHXJIZ,2019_Bahramvash Shams_Variations in the vertical profile of ozone at four high-latitude Arctic sites.pdf,'aura/mls'(1), ,ML2DGG;ML2O3,
N6CJZ3GH,2018_Kulikov_Technical note.pdf,'aura/mls'(2), ,ML2HO2;ML2O3;ML2OH,
SWBVAMY8,2015_Nair_Subtropical and midlatitude ozone trends in the stratosphere.pdf,'aura/mls'(7); 'uars/haloe'(2); 'uars/mls'(1); 'erbs/sage ii'(1), ,GozMmlpO3,GozMmlpO3;ML2O3
MPZ29UAM,2020_Wang_Performance evaluation of THz Atmospheric Limb Sounder (TALIS) of China.pdf,'aura/mls'(9), ,ML3DZMBRO,
