zotero key, pdf key, title, mission/instruments, models, dois, datasets, dois & datasets mapped
SXZ69KIT,AY75UAA7,2020_Bolaño-Ortiz_ENSO and Light-Absorbing Impurities and Their Impact on Snow Albedo in the.pdf,'terra/modis'(1), 'merra'(8); 'merra-2'(6); 'gdas'(1), 10.5067/FH9A0MLJPC7N; 10.5067/KLICLTZ8EM9D, , M2TMNXAER; M2T1NXAER
P3N8RV8J,Z6CC3ZUF,2020_Shikwambana_Emissions of toxic gases and aerosols in southern Africa observed during the.pdf,'aqua/modis'(1); 'terra/modis'(1); 'sentinel-5p/tropomi'(1), 'merra'(6); 'merra-2'(5), ,,
DVPWMD8V,TNYLLKU4,2021_Bikkina_Dry-deposition of inorganic and organic nitrogen aerosols to the Arabian Sea.pdf,, , ,,
JF5DVPQQ,3QYHV46J,2021_Mahmud_Drought dynamics of Northwestern Teesta Floodplain of Bangladesh.pdf,'trmm/tmi'(1), , 10.5067/TTO0VJF2FSYR; 10.5067/8CHFMAWJQTCP, GLDAS_NOAH10_M, GPCPMON; LPRM_TMI_DY_SOILM3; GLDAS_NOAH10_M
LA82D4QV,KE88TT2V,2020_Yang_Diurnal Sea surface temperature response to tropical cyclone Dahlia in the.pdf,, 'merra'(7), ,,
WWP3LGCR,KGARI3IM,2020_Senanayake_Disaggregating satellite soil moisture products based on soil thermal inertia.pdf,'aqua/modis'(5); 'terra/modis'(1), 'observation based'(2); 'gdas'(1), ,,
JYPBJR7N,H79CJQIL,2020_Wilks_Diatom and coccolithophore species fluxes in the Subtropical Frontal Zone east.pdf,, 'nobm'(2), ,,
JDEZ3PS3,2H6EN9ND,2021_Mroz_Cross-validation of active and passive microwave snowfall products over the.pdf,'gpm/dpr'(4); 'gpm/gmi'(2), , ,,
L43Q2PSE,WQUR8SLS,2021_Liu_Credibility and statistical characteristics of CAMSRA and MERRA-2 AOD.pdf,'aqua/modis'(3); 'terra/modis'(3); 'aqua/modis----level 2'(1); 'terra/modis----level 2'(1), 'merra'(45); 'merra-2'(44); 'geos-5'(2), ,,
UEAJLARE,C4M7C7D6,2021_Rahaman_COVID-19’s lockdown effect on air quality in Indian cities using air quality.pdf,'terra/modis'(7), 'merra-2'(9); 'merra'(9), ,,
X5HPS7V6,QBKTPY7E,2020_Vinogradova_Concentration of Black Carbon in the Near-Surface Atmosphere in the.pdf,'terra/modis'(1), 'merra-2'(9); 'merra'(9); 'geos-5'(2), ,,
Q56ASJVZ,B3JE5BCV,2020_Fuwan_Comprehensive validation of the latest IMERG V06 precipitation estimates over a.pdf,, 'imerg'(49); 'tmpa'(19), ,,
AK9N4922,GZRYRSN2,2020_Gore_Comparisons of upper air ozone at a coastal and urban site and the impacts of.pdf,, 'merra-2'(4); 'merra'(4); 'gdas'(1), 10.5067/VJAFPLI1CSIV; 10.5067/Aqua/AIRS/DATA303, , AIRS3STD; M2T1NXSLV
AUF4UWIC,XDVMZ3VI,2020_Yao_Contribution of Tropical Cyclones to Precipitation around Reclaimed Islands in.pdf,, 'imerg'(12), ,,
D7NPZ3L3,HCHWSGW3,2021_Yuan_Comparison of Two Multisatellite Algorithms for Estimation of Tropical Cyclone.pdf,'trmm/pr'(1), 'tmpa'(95); 'imerg'(94), ,,
L8435P9H,KBMA4W5Z,2021_Lin_Characterization of intra-continental smoke transport and impact on New York.pdf,'aqua/modis'(1); 'terra/modis'(1); 'suomi-npp/viirs'(1); 'aqua/airs'(1), 'merra-2'(15); 'merra'(15); 'geos-5'(1), ,,
SJMJYRFQ,F3UR4L4G,2021_Ramachandran_Black carbon aerosols over source vs.pdf,, 'merra'(23); 'merra-2'(22); 'tmpa'(1), ,,
MAMREWCW,BFZUL8YQ,2020_Ningombam_Atmospheric opacity using 220 GHz (1.pdf,'aqua/airs'(1); 'aqua/amsu-a'(1), 'merra-2'(30); 'merra'(30), ,,
LZUYWKTN,HLXBIX84,2021_Mocko_Assimilation of vegetation conditions improves the representation of drought.pdf,'oco-2/oco-2'(14); 'gosat/tanso-fts'(2); 'oco-2/oco-2----level 2'(1), , ,,
LKMMSVAR,QN8IWXQ8,2021_Junior_Assessment of Remote Sensing and Re-Analysis Estimates of Regional.pdf,'gpm/gmi'(2); 'gpm/dpr'(2); 'trmm/virs'(1); 'trmm/tmi'(1); 'trmm/pr'(1), 'merra'(26); 'imerg'(3); 'geos-5'(2); 'merra-2'(1); 'tmpa'(1), , GPCPMON; GPM_3IMERGDF, GPCPMON; GPM_3IMERGDF
4IXDKKFB,NSC7JBM2,2021_Zhang_Assimilation of OCO-2 retrievals with WRF-Chem-DART.pdf,'oco-2/oco-2'(14); 'gosat/tanso-fts'(2); 'oco-2/oco-2----level 2'(1), , ,,
TST937RM,69RRT46T,2021_Wang_Assessment of four latest long-term satellite-based precipitation products in.pdf,'meteorological stations/rain gauges'(1), 'tmpa'(28), ,,
8Z2KCXDF,SCYILSS7,2020_Atiqul Islam_Assessment and comparison of five satellite precipitation products in Australia.pdf,'trmm/tmi'(2); 'trmm/pr'(2); 'gpm/gmi'(1); 'gpm/dpr'(1), 'tmpa'(53); 'imerg'(50); 'merra-2'(1); 'merra'(1), ,,
M8R5DQV5,CMXZJ8D4,2021_Shikwambana_Assessing the Relationship between Economic Growth and Emissions Levels in.pdf,, 'merra-2'(9); 'merra'(9), ,,
P2KQ9FH3,XDBTMEAZ,2020_Umar_Application of regression in seasonal flow forecasting for Upper Indus Basin of.pdf,, 'merra'(2); 'merra-2'(1), ,,
USJ82FZU,H59XS5NC,2020_Tao_Application of NASA-Unified WRF model to carbon dioxide simulation- model.pdf,'oco-2/oco-2----level 2'(1); 'gosat/tanso-fts----level 2'(1); 'oco-2/oco-2'(1), 'merra'(21); 'merra-2'(20); 'geos-5'(6), , ACOS_L2_Lite_FP, ACOS_L2_Lite_FP
Q9Y78YGQ,6ZFCK4T4,2020_Kubryakov_Application of Landsat imagery for the investigation of wave breaking.pdf,, 'merra'(4); 'geos-5'(1), ,,
BNHSPP87,8ZRRLRXI,2020_Li_Analysis of the spatial distribution of precipitation and topography with GPM.pdf,'trmm/pr'(5); 'gpm/dpr'(2); 'gpm/gmi'(1), 'imerg'(11), ,,
CEE5X2SN,34YIUBRW,2020_Fernández_Are environmental pollution and biodiversity levels associated to the spread.pdf,, 'imerg'(1); 'merra-2'(1); 'merra'(1), , GPM_3IMERGDE; M2SDNXSLV, GPM_3IMERGDE; M2SDNXSLV
WRC2586M,M9CZMVXG,2020_Kumar_An assessment of radiative flux biases in the climate forecast system model.pdf,, , ,,
GMLQV4SI,7GHC7F3E,2020_Liu_An Environmental Data Collection for COVID-19 Pandemic Research.pdf,'aura/omi'(3); 'suomi-npp/viirs'(1), 'merra'(6); 'merra-2'(5); 'imerg'(5), ,,
CDRIT9NP,HUW9YAWL,2020_Eldardiry_Accounting for Inter-Annual and Seasonal Variability in Assessment of Water.pdf,, , ,,
K6MNXV3L,BPVS43A3,2020_Hu_A spatial downscaling method for SMAP soil moisture through visible and.pdf,'terra/modis'(3), 'imerg'(1), ,,
RIPV5KYJ,TE47I5X6,2020_Sadeghi_A new approach for bias adjustment of IMERG remotely sensed snowfall product.pdf,, 'imerg'(18), , GPM_3IMERGHH, GPM_3IMERGHH
BD7AIA55,PKDDGSUN,2021_Gopikrishnan_A decade of satellite observations reveal significant increase in atmospheric.pdf,'aura/omi'(1), , 10.5067/Aura/OMI/DATA3010, , OMHCHOd
V3MVGAZY,JVSVW22R,2020_Roshny_An assessment of a very severe cyclonic storm in the Arabian sea using the.pdf,, 'imerg'(16); 'gdas'(1), 10.5067/GPM/IMERGDF/DAY/06, , GPM_3IMERGDF
CYEX7PRL,E957SSUB,2021_Zhou_Adequacy of Near Real-Time Satellite Precipitation Products in Driving Flood.pdf,, 'imerg'(20), ,,
