zotero key, pdf key, title, mission/instruments, models, dois, datasets, dois & datasets mapped
MVVGVHJ8,B2I6L9SM,2016_Rohtash_Study on Comparison of Indian Ozonesonde Data with Satellite Data.pdf,'uars/mls'(29); 'aura/mls'(19); 'noaa-18/sbuv/2'(2); 'nimbus-7/sbuv'(1); 'aura/omi'(1); 'noaa-16/sbuv/2'(1), , 
85KRDJRU,FSVQ557L,2015_Minschwaner_Signature of a tropical Pacific cyclone in the composition of the upper.pdf,'aura/mls'(3), 'merra'(5), 
HRQQPFQQ,IXMQ3NZL,2014_Stolarski_Seasonal variation of ozone in the tropical lower stratosphere.pdf,'aura/mls'(12), 'merra'(4), 
8FSJLSES,D4QUX95U,2006_Folkins_Seasonal cycles of O3 CO and convective outflow at the tropical tropopause.pdf,'aura/mls'(3), , 
5GEKDBS7,DRJM9389,2013_Huang_Seasonal and diurnal variations of aerosol extinction profile and type.pdf,, , 
DXGPP7NZ,P8DQQEDX,2010_Shettle_SBUV observations of polar mesospheric clouds compared with MLS temperature and.pdf,'aura/mls'(3); 'aura/omi'(1), , 
MC4ZUSKX,EQNLDUTE,2018_Lee_Responses of Nitrogen Oxide to High‐Speed Solar Wind Stream in the Polar Middle.pdf,'aura/mls'(4), , 
KGKW79TF,T6GM7DKT,2018_Zou_Response of Mesospheric HO2 and O3 to Large Solar Proton Events.pdf,'aura/mls'(8); 'aura/mls----level 2'(1), , 
S92WKVRW,J7IDZZVH,2017_Li_Resolving the Model-Observation Discrepancy in the Mesospheric and.pdf,'aura/mls'(1), , 
5VH6HCBA,5X3GDEGN,2017_Sakazaki_Representation of solar tides in the stratosphere and lowermesosphere in.pdf,'aura/mls'(7); 'uars/mls'(3); 'noaa-9/tovs'(1); 'noaa-11/tovs'(1), 'merra'(18); 'merra-2'(16), 
L6JTIMMI,L7QF6S8S,2011_Wu_Regional simulations of deep convection and biomass burning over South America.pdf,'aura/mls'(2); 'aqua/modis----level 2'(1); 'trmm/tmi'(1), , 
PZUCPZ2H,RD2VHH3S,2017_Gilford_Radiative Effects of Stratospheric Seasonal Cycles in the Tropical Upper.pdf,'aura/mls'(11), , 
RUG9YXHK,TVNS8ZLQ,2007_Singleton_Quantifying Arctic ozone loss during the 2004–2005 winter using satellite.pdf,'aura/mls'(1); 'aura/hirdls'(1), , 
HRGK5XW3,FJ4P3XMA,2018_Pan_Quantifying Arctic lower stratospheric ozone sources in winter and spring.pdf,, 'merra'(3); 'merra-2'(3), 
NIAE655B,6JEZUBM7,2012_Andersson_Precipitating radiation belt electrons and enhancements of mesospheric hydroxyl.pdf,'aura/mls'(1); 'sorce/solstice'(1), , 
LLIFHKP3,S36LN7EX,2017_Lee_Polar Thermospheric Winds and Temperature Observed by Fabry-Perot.pdf,'aura/mls'(3), , 
QZUG3CHM,C77JA4DV,2005_Santee_Polar processing and development of the 2004 Antarctic ozone hole.pdf,'uars/mls'(3); 'aura/mls'(1), , 
LLLX59WS,UU2LRLDX,2016_Liu_Persistent longitudinal variations in 8 years of CIPS-AIM polar mesospheric.pdf,'aura/mls'(15); 'aura/omi'(1), , 
3J8HEPQY,3VYP97T3,2010_Huang_Ozone diurnal variations in the stratosphere and lower mesosphere based on.pdf,'uars/mls'(38); 'aura/mls'(15); 'uars/hrdi'(4); 'uars/mls----level 3'(2); 'aura/mls----level 2'(1); 'uars/mls----level 2'(1); 'uars/haloe'(1), , 
