paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
W2GQ8VQV,2017_Chipperfield_Detecting recovery of the stratospheric ozone layer.pdf,'aura/mls'(1), 'merra'(1),ML2O3;GozMmlpHCl;GozMmlpO3,ML2O3,,,1, 2, 0
YDLXBUA2,2017_Khosrawi_Denitrification dehydration and ozone loss during the 2015-2016 Arctic winter.pdf,'aura/mls'(34); 'uars/mls'(1), ,ML2CLO;ML2HNO3;ML2O3;ML2T,GozMmlpH2O;ML2CLO;GozMmlpHNO3;ML2H2O;ML2HNO3;GozMmlpO3;ML2T;ML2O3;UARML3AL,,,4, 0, 5
CA24LD5Q,2011_Khosrawi_Denitrification and polar stratospheric cloud formation during the Arctic.pdf,'aura/mls'(15); 'uars/mls'(4), 'gdas'(4); 'geos-5'(2),ML2HNO3;UARML3AT;UARML3AL,GozMmlpHNO3;UARML3AL;ML2T;ML2HNO3,,,2, 1, 2
XRJSZ6PJ,2018_Strahan_Decline in Antarctic Ozone Depletion and Lower Stratospheric Chlorine.pdf,'aura/mls'(1), 'merra'(8),ML2O3;ML2N2O;ML2HCL,GozMmlpHCl;ML2N2O;ML2O3;ML2T,,,2, 1, 2
TKE9RE65,2015_Inness_Data assimilation of satellite-retrieved ozone carbon monoxide and nitrogen.pdf,'noaa-17/sbuv/2'(1); 'noaa-16/sbuv/2'(1); 'aura/omi'(1); 'noaa-18/sbuv/2'(1); 'aura/mls'(1), ,OMNO2d;OMTO3d;ML2O3;SBUV2N16L3zm;SBUV2N17L3zm;SBUV2N18L3zm,OMTO3e;ML2CO;ML2N2O;MSO3L3zm5;OMI_MINDS_NO2;ML2O3;OMNO2d,,,2, 4, 5
53ADKVML,2015_de Wit_Coupling in the middle atmosphere related to the 2013 major sudden.pdf,'aura/mls'(2); 'uars/mls'(1); 'uars/windii'(1); 'aura/mls----level 2'(1), ,ML2T,ML2DGG;ML3DBOH;UARWI3AL;ML2T;UARML3AL,,,1, 0, 4
B5EGTRJR,2019_Macotela_D‐Region High‐Latitude Forcing Factors.pdf,'aura/mls'(2), ,ML2T,ML2T,,,1, 0, 0
2SI4C4QF,2018_Zülicke_Coupling of Stratospheric Warmings with Mesospheric Coolings in Observations.pdf,'aura/mls'(3); 'aura/mls----level 2'(1), 'merra'(2),ML2T,ML2T,,,1, 0, 0
QWEZL4KM,2019_Das_Upper tropospheric ozone transport from the sub-tropics to tropics over the.pdf,'aura/mls'(8), 'gdas'(1),ML2H2O;ML2O3;ML2CO,ML2O3;ML2H2O;ML2CO,,,3, 0, 0
Z7ME64LK,2019_Johansson_Unusual chlorine partitioning in the 2015-16 Arctic winter lowermost.pdf,'aura/mls'(13); 'uars/mls'(1), 'merra'(13); 'merra-2'(13),M2I6NPANA;ML2CH3CL;ML2CLO;ML2HCL;ML2HNO3;ML2O3;ML1OA,GozMmlpHCl;ML2CLO;GozMmlpHNO3;ML2HNO3;GozMmlpO3;ML2O3;ML2T;ML2CH3CL;UARML3AL,,,4, 3, 5
MNFDJB8F,2019_Inness_The CAMS reanalysis of atmospheric composition.pdf,'terra/modis'(2); 'aqua/modis'(2); 'noaa-17/sbuv/2'(1); 'aura/omi'(1); 'noaa-19/sbuv/2'(1); 'noaa-18/sbuv/2'(1); 'aura/mls'(1); 'noaa-16/sbuv/2'(1), 'merra'(4); 'merra-2'(1),ML2O3;OMNO2;OMTO3;BUVN04L2;SBUV2N09L2;SBUV2N11L2;SBUV2N14L2;SBUV2N16L2;SBUV2N17L2;SBUV2N18L2;SBUV2N19L2;SBUVN07L2,OMTO3e;ML2CO;ML2N2O;MSO3L3zm5;ML2O3;OMI_MINDS_NO2;OMNO2d,,,1, 11, 6
F7FJJ4B5,2019_du Preez_Spring and summer time ozone and solar ultraviolet radiation variations over.pdf,'aura/omi'(1); 'aura/mls'(1), ,ML2O3;OMNO2;OMTO3G,OMTO3e;ML2O3,,,1, 2, 1
GX8E53NA,2018_Wargan_Recent Decline in Extratropical Lower Stratospheric Ozone Attributed to.pdf,'aura/mls'(3); 'aura/omi'(1), 'merra'(46); 'merra-2'(45),M2I3NVASM;M2IMNPASM,OMUFPITMET;OMTO3e;ML2O3;ML2T,,,0, 2, 4
WI8FPDAY,2019_Suleiman_OMI total bromine monoxide (OMBRO) data product.pdf,'aura/omi'(2), ,ML1RADD;OML1BRUG,OMTO3e;OMBRO;OMSO2e,,,0, 2, 3
ILKCY4X5,2020_Gordon_Evidence for energetic particle precipitation and quasi-biennial oscillation.pdf,'aura/omi'(2); 'aura/mls'(2); 'uars/haloe'(1); 'aura/omi----level 2'(1), ,ML2HNO3;ML2OH;ML2T;OMDOAO3;OMNO2G;OMPIXCORZ;OMTO3G,OMNO2;OMUFPITMET;OMTO3e;OMDOAO3;ML2N2O;ML2HNO3;GozMmlpO3;OMI_MINDS_NO2;ML2T;ML2O3;OMNO2d;UARHA2FN,,,3, 4, 9
